Datum,Check in,Vertrek,Check uit,Bestemming,Af,Bij,Transactie,Kl,Product,Prive/ Zakelijk,Opmerking
20-06-2023,16:28,Rotterdam Alexander,16:43,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
20-06-2023,07:48,Rotterdam Centraal,07:58,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
19-06-2023,17:29,Rotterdam Alexander,17:43,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
19-06-2023,07:41,Rotterdam Centraal,07:58,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
16-06-2023,17:12,Rotterdam Alexander,17:27,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
16-06-2023,08:16,Rotterdam Centraal,08:34,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
15-06-2023,18:29,Rotterdam Alexander,18:43,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
15-06-2023,08:30,Rotterdam Centraal,08:43,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
14-06-2023,16:55,Rotterdam Alexander,17:13,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
14-06-2023,08:13,Rotterdam Centraal,08:29,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
13-06-2023,16:28,Rotterdam Alexander,16:42,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
13-06-2023,07:45,Rotterdam Centraal,08:14,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
12-06-2023,16:22,Rotterdam Alexander,16:37,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
12-06-2023,07:48,Rotterdam Centraal,07:58,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
11-06-2023,19:15,Rotterdam Centraal perron Dd,19:19,Burg. Meineszplein,"€1,33","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
11-06-2023,18:32,Den Haag Centraal,19:14,Rotterdam Centraal,"€3,42","€0,00",Reis,2.0,Reizen op Rekening Trein,,
11-06-2023,18:15,Halte Onbekend.,18:26,Halte Onbekend,"€1,08","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
11-06-2023,16:26,Malieveld,16:38,Kurhaus,"€1,88","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
11-06-2023,13:39,Rotterdam Centraal,14:06,Den Haag Centraal,"€3,42","€0,00",Reis,2.0,Reizen op Rekening Trein,,
11-06-2023,13:33,Burg. Meineszplein,13:38,Rotterdam Centraal,"€1,36","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
10-06-2023,19:04,Amsterdam Centraal,20:43,Rotterdam Alexander,"€9,66","€0,00",Reis,2.0,Treinreizen,,
10-06-2023,19:04,Rotterdam Alexander,20:43,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
10-06-2023,18:52,Leidseplein,19:03,Centraal Station,"€1,51","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
10-06-2023,11:37,Rotterdam Alexander,12:56,Amsterdam Centraal,"€9,66","€0,00",Reis,2.0,Reizen op Rekening Trein,,
10-06-2023,11:37,Rotterdam Centraal,12:56,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Treinreizen,,
09-06-2023,15:49,Coolhaven,15:56,Blaak,"€1,49","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
09-06-2023,12:32 vr,Rotterdam Centraal,11:35 za,Rotterdam Centraal,"€4,45","€0,00",Deur tot deur,,OV Fiets,,
08-06-2023,20:55,Rotterdam Centraal,21:17,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
08-06-2023,16:27,Rotterdam Alexander,16:48,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
08-06-2023,08:25,Rotterdam Centraal,08:43,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
07-06-2023,17:29,Rotterdam Alexander,17:42,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
07-06-2023,08:13,Rotterdam Centraal,08:28,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
06-06-2023,16:13,Rotterdam Alexander,16:27,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
06-06-2023,07:59,Rotterdam Centraal,08:14,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
05-06-2023,17:12,Rotterdam Alexander,17:27,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
05-06-2023,07:49,Rotterdam Centraal,08:04,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
04-06-2023,12:14,Amsterdam Centraal,13:38,Rotterdam Alexander,"€9,66","€0,00",Reis,2.0,Treinreizen,,
04-06-2023,12:14,Rotterdam Alexander,13:38,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
03-06-2023,19:48 za,Amsterdam Centraal Stationsplein,12:10 zo,Amsterdam Centraal Stationsplein,"€4,45","€0,00",Deur tot deur,,OV Fiets,,
03-06-2023,19:20,Elandsgracht,19:31,Centraal Station,"€1,53","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
03-06-2023,14:58,Zaandam,15:26,Amsterdam Centraal,"€1,86","€0,00",Reis,2.0,Reizen op Rekening Trein,,
03-06-2023,11:59,Rotterdam Centraal,13:02,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Treinreizen,,
